00401;0051060
00402;0051188
00403;0051316
00404;0051444
00405;0051572
00406;0051700
00407;0051828
00408;0051956
00409;0052084
00410;0052252
00411;0052380
00412;0052508
00413;0052636
00414;0052764
00415;0052892
00416;0053020
00417;0053148
00418;0053276
00419;0053404
00420;0053532
00421;0053660
00422;0053788
00423;0053916
00424;0054044
00425;0054146
00426;0054248
00427;0054350
00428;0054452
00429;0054554
00430;0054656
00431;0054758
00432;0054860
00433;0054962
00434;0055064
00435;0055166
00436;0055268
00437;0055370
00438;0055472
00439;0055574
00440;0055676
00441;0055778
00442;0055880
00443;0055982
00444;0056084
00445;0056186
00446;0056288
00447;0056390
00448;0056492
00449;0056594
00450;0056696
00451;0056798
00452;0056900
00453;0057002
00454;0057104
00455;0057206
00456;0057308
00457;0057410
00458;0057512
00459;0057614
00460;0057716
00461;0057818
00462;0057920
00463;0058022
00464;0058124
00465;0058226
00466;0058328
00467;0058430
00468;0058532
00469;0058634
00470;0058736
00471;0058838
00472;0058940
00473;0059042
00474;0059144
00475;0059246
00476;0059348
00477;0059450
00478;0059552
00479;0059654
00480;0059756
00481;0059858
00482;0059960
00483;0060062
00484;0060164
00485;0060266
00486;0060368
00487;0060470
00488;0060572
00489;0060674
00490;0060776
00491;0060878
00492;0060980
00493;0061082
00494;0061184
00495;0061286
00496;0061388
00497;0061490
00498;0061592
00499;0061694
00500;0061796
00501;0061898
00502;0062000
00503;0062102
00504;0062204
00505;0062306
00506;0062408
00507;0062510
00508;0062612
00509;0062714
00510;0062816
00511;0062918
00512;0063020
00513;0063122
00514;0063224
00515;0063326
00516;0063428
00517;0063530
00518;0063632
00519;0063734
00520;0063836
00521;0063938
00522;0064040
00523;0064142
00524;0064244
00525;0064346
00526;0064448
00527;0064550
00528;0064652
00529;0064754
00530;0064856
00531;0064958
00532;0065060
00533;0065162
00534;0065264
00535;0065366
00536;0065468
00537;0065570
00538;0065672
00539;0065774
00540;0065876
00541;0065978
00542;0066080
00543;0066182
00544;0066284
00545;0066386
00546;0066488
00547;0066590
00548;0066692
00549;0066794
00550;0066896
00551;0066998
00552;0067100
00553;0067202
00554;0067304
00555;0067406
00556;0067508
00557;0067610
00558;0067712
00559;0067814
00560;0067916
00561;0068018
00562;0068120
00563;0068222
00564;0068324
00565;0068426
00566;0068528
00567;0068630
00568;0068732
00569;0068834
00570;0068936
00571;0069038
00572;0069140
00573;0069242
00574;0069344
00575;0069446
00576;0069548
00577;0069650
00578;0069752
00579;0069854
00580;0069956
00581;0070058
00582;0070160
00583;0070262
00584;0070364
00585;0070466
00586;0070568
00587;0070670
00588;0070772
00589;0070874
00590;0070976
00591;0071078
00592;0071180
00593;0071282
00594;0071384
00595;0071486
00596;0071588
00597;0071690
00598;0071792
00599;0071894
00600;0071996
00601;0072098
00602;0072200
00603;0072302
00604;0072404
00605;0072506
00606;0072608
00607;0072710
00608;0072812
00609;0072914
00610;0073016
00611;0073118
00612;0073220
00613;0073322
00614;0073424
00615;0073526
00616;0073628
00617;0073730
00618;0073832
00619;0073934
00620;0074036
00621;0074138
00622;0074240
00623;0074342
00624;0074444
00625;0074546
00626;0074648
00627;0074750
00628;0074852
00629;0074954
00630;0075056
00631;0075158
00632;0075260
00633;0075362
00634;0075464
00635;0075566
00636;0075668
00637;0075770
00638;0075872
00639;0075974
00640;0076076
